Areaal,source,target,mapping
GRVERH,Opdelend/ad.begroeidterreindeel_v,/*-**-GR-HEESTER-GV,fysiekvoorkomen = Struiken
GRVERH,Opdelend/ad.begroeidterreindeel_v,/*-**-GR-MOERAS-GV,fysiekvoorkomen = Moeras
GRVERH,Opdelend/ad.begroeidTerreindeelPlantvak_v,/*-**-GR-BEPLANTING_CULTUUR_BOSPLANTSOEN-GV,fysiekvoorkomen = Groenvoorziening:Bosplantsoen
GRVERH,Opdelend/ad.begroeidTerreindeelPlantvak_v,/*-**-GR-BEPLANTING_CULTUUR_VASTE PLANTENVAK-GV,fysiekvoorkomen = Groenvoorziening:planten
GRVERH,Opdelend/ad.begroeidTerreindeelPlantvak_v,/*-**-GR-BOS_LOOF-GV,fysiekvoorkomen = Loofbos
GRVERH,Opdelend/ad.begroeidterreindeel_v,/*-**-GR-HOUTOPSTAND_LOOF-GV,fysiekvoorkomen = Loofbos:griend en hout
GRVERH,Opdelend/ad.begroeidterreindeel_v,/*-**-GR-BOS_GEMENGD-GV,fysiekvoorkomen = Gemengd bos
GRVERH,Opdelend/ad.begroeidterreindeel_v,/*-**-GR-BOS_NAALD-GV,fysiekvoorkomen = Naaldbos
GRVERH,Opdelend/ad.begroeidTerreindeelBerm_v,/*-**-GR-GRAS-GV,fysiekvoorkomen = Groenvoorziening:gras- en kruidachtigen
GRVERH,Opdelend/ad.begroeidTerreindeelBermKruin_l,/nlcs.x,
GRVERH,Opdelend/ad.begroeidTerreindeelKruin_l,/nlcs.x,
GRVERH,Opdelend/ad.begroeidTerreindeelPvKr_l,/nlcs.x,
GRVERH,buitenFds/ad.beschoeiingInspectie_tbl,/nlcs.x,
GRVERH,buitenFds/ad.crowInspectie_tbl,/nlcs.x,
GRVERH,buitenFds/ad.crowInspectieresultaat_tbl,/nlcs.x,
GRVERH,buitenFds/ad.crowMeting_tbl,/nlcs.x,
GRVERH,Functioneel/ad.ecoHoofdstructuur_v,/nlcs.x,
GRVERH,Functioneel/ad.ecoVerbZone_v,/nlcs.x,
GRVERH,Functioneel/ad.faunavoorziening_v,/nlcs.x,
GRVERH,Functioneel/ad.kruispunt_p,/nlcs.x,
GRVERH,Opdelend/ad.onbegroeidTerreindeel_v,/*-**-VH-VERHARDING_ASFALT-GV,fysiekvoorkomen = Gesloten verharding: asfalt
GRVERH,Opdelend/ad.onbegroeidTerreindeel_v,/*-**-VH-VERHARDING_BETON-GV,fysiekvoorkomen = Gesloten verharding: cementbeton
GRVERH,Opdelend/ad.onbegroeidTerreindeel_v,/*-**-VH-VERHARDING_BETONSTRAATSTEEN-GV,fysiekvoorkomen = Open verharding: betonstraat-stenen
GRVERH,Opdelend/ad.onbegroeidTerreindeel_v,/*-**-VH-VERHARDING_STRAATBAKSTEEN-GV,fysiekvoorkomen = Open verharding: gebakken klinkers
GRVERH,Opdelend/ad.onbegroeidTerreindeel_v,/*-**-VH-VERHARDING_TEGEL-GV,fysiekvoorkomen = Open verharding: tegels
GRVERH,Opdelend/ad.onbegroeidTerreindeel_v,/*-**-VH-VERHARDING_SIERBESTRATING-GV,fysiekvoorkomen = Open verharding: sierbestrating
GRVERH,Opdelend/ad.onbegroeidTerreindeel_v,/*-**-VH-VERHARDING_HALFVERHARDING-GV,fysiekvoorkomen = Half verhard
GRVERH,Opdelend/ad.onbegroeidTerreindeel_v,/*-**-VH-VERHARDING_GRASBETONSTEEN-GV,fysiekvoorkomen = Half verhard: grasklinkers
GRVERH,Opdelend/ad.onbegroeidTerreindeel_v,/*-**-VH-VERHARDING_PUIN-GV,fysiekvoorkomen = Half verhard: puin
GRVERH,Opdelend/ad.onbegroeidTerreindeel_v,/*-**-GW-GROND_GRIND-GV,fysiekvoorkomen = Half verhard: grind
GRVERH,Opdelend/ad.onbegroeidTerreindeel_v,/*-**-VH-VERHARDING_HOUTSNIPPERS-GV,fysiekvoorkomen = Onverhard: boomschors
GRVERH,Opdelend/ad.onbegroeidTerreindeelKruin_l,/nlcs.x,
GRVERH,Opdelend/ad.ondersteunendWaterdeel_v,/nlcs.x,
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/*-**-VH-VERHARDING_ASFALT-GV,fysiekvoorkomen = Gesloten verharding: asfalt
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/*-**-VH-VERHARDING_BETON-GV,fysiekvoorkomen = Gesloten verharding: cementbeton
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/*-**-VH-VERHARDING_BETONSTRAATSTEEN-GV,fysiekvoorkomen = Open verharding: betonstraat-stenen
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/*-**-VH-VERHARDING_STRAATBAKSTEEN-GV,fysiekvoorkomen = Open verharding: gebakken klinkers
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/*-**-VH-VERHARDING_TEGEL-GV,fysiekvoorkomen = Open verharding: tegels
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/*-**-VH-VERHARDING_SIERBESTRATING-GV,fysiekvoorkomen = Open verharding: sierbestrating
